Ocho
t			x
0.0			-1.6736496179836462E-4
0.033333333333333375	-8.559875101748007E-5
0.06666666666666668	2.3159784557993078E-4
0.1			7.395256240941579E-4
0.13333333333333336	0.0014391154813244763
0.16666666666666663	0.0023241215995563804
0.2			0.003407591586807054
0.23333333333333325	0.004626514706937502
0.2666666666666666		0.006121132811101942
0.3			0.007604400905684842
0.33333333333333326	0.009509031804657697
0.36666666666666664	0.011517534551557384
0.4			0.013673985725302555
0.43333333333333335	0.016097312956725444
0.46666666666666673	0.01872606222141321
0.5			0.02146411478067029
0.5333333333333333		0.024561022097135177
0.5666666666666667		0.027731621958034414
0.6			0.03115567453577736
0.6333333333333333		0.034813921886541664
0.6666666666666667		0.038684131891988854
0.7			0.04278236646309438
0.7333333333333333		0.04716604334853426
0.7666666666666667		0.05173383187707904
0.8			0.056569747301762056
0.8333333333333335		0.061641312609012185
0.8666666666666665		0.06698363529709453
0.9			0.07250798262857198
0.9333333333333332		0.07832268833608141
0.9666666666666668		0.08417842702073615
1.0			0.09044191392657666
